CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
664,Vicenza,222,8,307,-135,-41.27,NA,NA,NA,NA,0,0.7,0.3,-271
665,Vicenza,222,13,1563,-314,-36.71,NA,NA,NA,NA,2.24,1,0,-410
666,Milano,222,9,166,-9,-2.49,-14.22,NA,-4.54,-1.86,0.41,0.87,0.13,52
667,Vicenza,221,NA,114,-67,-49.16,NA,NA,NA,-24.13,-0.01,1,0,-37
668,Vicenza,219,2,772,3,0.64,1.36,56.79,0.78,2.23,0,1,0,261
669,Bologna,219,0,508,1,2.23,0.57,8.35,4.4,5.18,0.56,0.73,0.27,256
670,Alessandria,217,3,178,-63,-35.22,-36.6,NA,NA,-28.74,0,1,0,173
671,Vicenza,217,2,118,-30,-25.45,NA,NA,NA,-12.94,0,1,0,4
672,Vicenza,217,4,363,17,8.83,20.27,51.92,NA,14.65,NA,0.98,0.02,90
673,Milano,214,4,231,15,8.83,17.77,72.72,12.43,9.53,0.01,0.12,0.88,210
674,Alessandria,213,6,98,-21,-20.66,NA,NA,NA,-9.49,NA,1,0,26
675,Vicenza,212,9,72,-29,-31.61,-122.44,NA,NA,-10.78,0,1,0,27
676,Vicenza,212,NA,23,-157,-753.72,NA,NA,NA,NA,-0.18,1,0,-150
677,Vicenza,211,0,162,-1,6.2,-0.89,-7.46,10.32,4.74,0.05,0.83,0.17,68
678,Sondrio,209,5,3158,3,1.66,0.52,6.02,NA,21.12,NA,0.59,0.41,-310
679,Verona,208,NA,225,-14,-4.82,-18.46,NA,-6.88,-5.08,1.11,0.38,0.62,122
680,Vicenza,207,1,89,21,25.73,60.26,90.96,NA,10.95,0.29,1,0,45
681,Vicenza,207,7,144,-7,-3.82,-30.81,NA,NA,-2.67,NA,1,0,49
682,Vicenza,206,4,263,4,3.04,2.88,55.49,5.19,3.87,0,1,0,196
683,Vicenza,206,NA,266,-37,-5.42,-99.48,NA,-12.34,-6.89,2.14,1,0,-9
684,Vicenza,206,4,1116,-40,-3.32,-6.5,NA,-6.06,-16.32,0,0.08,0.92,135
685,Verona,206,3,188,5,3.46,3.81,73.17,NA,3.15,NA,1,0,149
686,Padova,206,0,2963,111,6.33,4.31,59.23,6.37,NA,0.14,1,0,2576
687,Alessandria,205,3,948,5,4.5,0.94,11.07,6.46,20.35,0.28,0.87,0.13,491
688,Milano,204,2,255,-83,-27.55,NA,NA,NA,-34.45,-4.32,1,0,-39
689,Treviso,202,1,112,5,12.02,11.63,36.02,NA,6.66,NA,1,0,35
690,Milano,201,NA,903,-23,-1.33,-6,NA,NA,-5.16,NA,0.97,0.03,401
691,Vicenza,200,0,188,-41,-20,-54.55,NA,NA,-18.85,NA,0.81,0.19,132
692,Alessandria,199,0,161,-15,-5.75,-67.5,NA,-26.59,-4.63,0.57,1,0,24
693,Vicenza,198,5,225,17,11.5,21.85,65.75,NA,12.84,NA,0.68,0.32,20
694,Vicenza,198,5,118,-25,-28.28,-104.32,NA,NA,-16.79,NA,0.81,0.19,-27
695,Vicenza,196,5,259,1,1.64,4.63,15.85,NA,1.47,NA,1,0,-87
696,Vicenza,196,0,194,10,6.6,9.31,79.22,NA,6.17,NA,0.83,0.17,121
697,Vicenza,194,0,1036,-307,-28.52,NA,NA,NA,NA,NA,1,0,-974
698,Alessandria,194,0,113,-10,-10.41,-9.1,NA,-10.5,-5.54,0,1,0,111
699,Brescia,193,NA,197,-8,4.05,NA,-102.63,4.29,4.14,43.24,1,0,2
700,Alessandria,192,0,335,-92,-47.48,NA,NA,NA,NA,-0.56,0.84,0.16,-69
701,Alessandria,192,1,124,3,12.76,32.7,17.79,NA,8.15,0.15,0.97,0.03,9
702,Milano,191,2,127,-40,-28.54,NA,NA,NA,-18.77,3.3,1,0,20
703,Milano,189,4,131,1,5.07,4.56,20.08,NA,3.26,NA,1,0,27
704,Milano,189,0,313,7,4.03,37.98,54.25,8.96,6.61,2.07,0.64,0.36,110
705,Alessandria,188,0,669,-207,-32.1,NA,NA,NA,NA,-1.27,1,0,-153
706,Vicenza,188,3,26,-130,-484.22,NA,NA,NA,NA,0.05,1,0,-35
707,Pavia,187,2,134,-3,-2.47,-46.4,NA,NA,-1.77,NA,1,0,3
708,Alessandria,186,2,367,0,1,0.04,1.66,NA,1.79,NA,0.61,0.39,140
709,Milano,185,NA,205,13,11.69,13.48,53.68,NA,11.81,NA,1,0,78
710,Vicenza,184,0,571,9,2.09,7.63,72.47,NA,6.3,NA,0.03,0.97,444
711,Vicenza,184,3,471,-566,-118.5,NA,NA,NA,NA,-0.21,1,0,-516
712,Belluno,183,NA,824,-126,-14.08,NA,NA,NA,NA,NA,0.9,0.1,-614
713,Alessandria,183,3,781,3,3.7,3.27,10.36,NA,15.27,NA,0.19,0.81,638
714,Vicenza,183,0,293,1,13.15,5,2.77,NA,21.05,2.15,0.9,0.1,44
